host_since,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,availability_90,Commercial,resp_rate
2015,2,1,1,1,NA,99,NA,NA,0,60,1,1125,71,Yes,100
2015,2,1,1,1,NA,99,NA,NA,NA,60,1,1125,57,Yes,100
2013,2,1,1,1,NA,99,NA,NA,NA,NA,1,5,57,No,100
2016,2,1,0,1,NA,95,NA,NA,0,50,5,1125,23,No,100
2015,2,3,1,1,NA,30,NA,NA,NA,5,1,1125,54,Yes,100
2015,2,3,1,1,NA,30,NA,NA,NA,5,1,1125,53,Yes,100
2015,2,3,1,1,NA,30,NA,NA,NA,5,1,1125,33,Yes,100
2013,4,1,2,2,NA,75,NA,NA,100,NA,4,1125,0,No,NA
2014,6,3,4,4,NA,780,3200,NA,1000,200,2,1125,88,No,100
2013,2,1,1,1,NA,50,NA,NA,NA,NA,3,1125,0,No,NA
2014,3,1,0,1,NA,175,NA,NA,NA,75,2,1125,5,No,100
2013,4,1,2,2,NA,200,NA,NA,NA,25,1,1125,0,No,NA
2016,3,1,1,1,NA,74,NA,NA,NA,NA,1,1125,0,No,NA
2012,4,1,3,2,NA,140,NA,NA,150,50,2,1125,0,No,100
2016,2,1,1,1,NA,75,NA,NA,200,45,6,300,2,Yes,100
2014,2,1,1,1,NA,139,NA,NA,400,94,2,1125,74,Yes,99
2014,2,1,1,1,NA,209,NA,NA,400,94,2,1125,57,Yes,99
2014,2,1,1,2,NA,298,NA,NA,NA,24,14,1125,0,No,NA
2015,3,1,1,1,NA,98,NA,NA,NA,10,1,1125,0,No,NA
2016,4,1,1,2,NA,375,NA,NA,0,0,4,7,0,No,NA
2016,2,1,1,1,NA,105,NA,NA,0,30,1,1125,17,No,100
2016,4,1,1,4,NA,325,NA,NA,NA,150,3,7,55,No,100
2015,6,2,3,3,NA,350,NA,NA,500,100,3,1125,0,No,NA
2013,4,1,2,2,NA,160,NA,NA,NA,95,2,1125,42,Yes,100
2016,1,1.5,1,1,NA,49,NA,NA,1000,NA,10,1125,1,No,100
2015,2,1,1,1,NA,145,NA,NA,NA,25,1,1125,0,No,NA
2013,8,2,2,5,NA,268,NA,NA,200,100,1,28,56,Yes,100
2013,6,1,2,2,NA,189,NA,NA,300,NA,2,30,45,No,93
2016,3,1.5,1,3,NA,65,NA,NA,NA,NA,2,17,46,No,100
2015,4,1,1,1,NA,200,NA,NA,NA,NA,1,7,0,No,NA
2014,4,1.5,2,2,NA,149,NA,NA,400,124,2,1125,78,Yes,99
2013,4,2,2,2,NA,275,NA,NA,300,130,3,1125,0,No,100
2014,4,1,2,2,NA,195,NA,NA,NA,NA,2,1125,0,No,100
2016,2,1,1,1,NA,120,NA,NA,NA,100,3,1125,0,No,NA
2013,4,1,2,2,NA,249,NA,NA,250,80,3,60,0,No,NA
2016,2,1,1,1,NA,129,NA,NA,100,15,1,5,0,No,NA
2015,5,1,2,4,NA,199,NA,NA,NA,NA,1,60,49,No,100
2015,2,1,1,1,NA,67,NA,NA,NA,NA,1,1125,0,No,NA
2016,2,1,1,1,NA,69,NA,NA,95,49,1,1125,23,Yes,100
2016,2,1,1,1,NA,79,NA,NA,95,49,1,1125,26,Yes,100
2016,8,2,2,3,NA,125,NA,NA,250,125,1,1125,39,No,100
2014,1,1,1,1,NA,65,NA,NA,500,50,25,1124,21,Yes,100
2015,4,1,1,2,NA,150,NA,NA,500,60,28,1125,47,Yes,100
2013,2,1,1,1,NA,75,NA,NA,100,40,1,1125,56,Yes,100
2016,2,1,1,1,NA,60,NA,NA,100,10,2,90,0,No,NA
2016,4,2,2,2,NA,400,NA,NA,250,100,1,1125,14,Yes,100
2013,1,1.5,1,1,NA,57,NA,NA,NA,NA,14,1125,0,No,NA
2013,2,1,1,2,NA,270,NA,NA,300,85,3,7,8,No,100
2014,1,1,1,1,NA,88,NA,NA,NA,NA,6,92,0,No,100
2014,3,1,1,2,NA,99,NA,NA,NA,NA,1,1125,0,No,NA
2012,4,2,2,2,NA,350,NA,NA,250,100,1,10,0,No,NA
2014,4,1,2,3,NA,249,NA,NA,400,129,2,1125,86,Yes,99
2014,2,1,1,1,NA,219,NA,NA,400,95,2,1125,50,Yes,99
2013,5,1,2,2,NA,159,NA,NA,300,105,3,1125,60,No,NA
2013,4,2,2,2,NA,185,NA,NA,150,35,2,1125,0,No,NA
2015,10,2.5,3,9,NA,350,NA,NA,0,250,1,15,69,No,100
2014,4,1,1,4,NA,70,NA,NA,NA,NA,3,7,0,No,NA
2013,1,1,1,1,NA,33,NA,NA,NA,NA,59,1125,38,Yes,100
2015,3,1,2,2,NA,225,NA,NA,NA,80,3,1125,69,No,100
2011,4,1,1,1,NA,135,NA,NA,NA,NA,1,1125,0,No,NA
2016,4,1,2,2,NA,300,NA,NA,0,300,2,1125,2,No,100
2014,2,1,1,1,NA,207,NA,NA,0,100,2,1125,74,Yes,83
2014,2,1,1,1,NA,65,NA,NA,200,10,1,1125,40,Yes,97
2015,4,1,1,1,NA,99,NA,NA,150,25,3,1125,26,No,100
2016,3,1,0,1,NA,200,NA,NA,0,65,1,1125,0,No,NA
2015,2,1,1,1,NA,139,NA,NA,NA,75,3,1125,0,No,NA
2016,2,1,1,1,NA,125,NA,NA,NA,NA,1,1125,0,No,NA
2015,3,1,1,2,NA,133,NA,NA,NA,100,3,1125,86,Yes,97
2016,1,1,1,1,NA,95,NA,NA,NA,50,4,1125,0,No,100
2013,5,2,2,2,NA,255,NA,NA,500,75,2,1125,48,No,100
2015,4,2,2,1,NA,220,NA,NA,NA,NA,1,1125,0,No,NA
2015,5,2,2,3,NA,179,NA,NA,NA,100,3,1125,85,Yes,97
2015,3,1.5,1,2,NA,29,NA,NA,0,5,1,10,55,No,89
2015,5,2,2,3,NA,189,NA,NA,NA,100,3,1125,88,Yes,97
2015,3,1,1,2,NA,139,NA,NA,NA,100,3,1125,80,Yes,97
2016,2,1,1,1,NA,60,NA,NA,NA,30,1,1125,75,No,70
2015,2,1,1,1,NA,45,NA,NA,171,17,1,1125,0,No,NA
2015,5,1,2,4,NA,75,NA,NA,125,30,2,1125,33,No,100
2015,2,1,0,2,NA,150,NA,NA,0,110,3,120,11,Yes,100
2012,4,1,1,1,NA,135,NA,NA,NA,20,3,1125,0,No,NA
2016,2,1,1,1,NA,75,NA,NA,NA,NA,2,1125,6,No,100
2016,2,1,0,1,NA,149,NA,NA,200,80,2,180,26,No,100
2014,2,1.5,1,1,NA,81,NA,NA,NA,NA,1,1125,0,No,NA
2015,5,2,2,3,NA,186,NA,NA,NA,100,3,1125,60,Yes,97
2013,3,1,1,1,NA,195,NA,NA,450,80,2,75,48,Yes,100
2014,1,1,1,1,NA,30,NA,NA,500,50,30,1124,4,Yes,100
2015,10,2,3,4,NA,175,NA,NA,400,100,1,1125,59,No,84
2016,2,1,1,1,NA,90,NA,NA,200,45,6,200,6,Yes,100
2014,2,1,1,1,NA,250,NA,NA,0,60,2,1125,66,No,100
2014,1,1,1,1,NA,55,NA,NA,NA,10,1,1125,0,No,NA
2016,3,1,1,1,NA,139,NA,NA,599,79,1,1124,31,No,90
2014,1,1,1,1,NA,34,NA,867,500,50,30,1125,0,Yes,100
2015,2,1,1,1,NA,62,NA,NA,NA,NA,6,30,0,No,NA
2013,4,2,2,3,NA,235,NA,NA,NA,NA,7,1125,0,No,NA
2010,4,1,2,2,NA,132,NA,NA,350,75,1,99,0,No,100
2013,4,1,2,2,NA,80,NA,NA,200,20,2,1125,0,No,100
2016,3,1,1,1,NA,450,NA,NA,NA,NA,2,1125,0,No,NA
2016,1,1,1,1,NA,200,NA,NA,NA,NA,1,1125,0,No,NA
2015,4,1,1,2,NA,149,NA,NA,NA,50,2,1125,0,No,NA
2013,3,1,0,2,NA,182,NA,NA,100,40,2,1125,67,Yes,100
2014,6,1,2,2,NA,65,NA,NA,NA,75,3,1125,63,Yes,94
2014,2,1,1,1,NA,250,NA,NA,NA,NA,1,1125,0,No,NA
2015,2,3,1,1,NA,30,NA,NA,NA,5,1,1125,52,Yes,100
2015,2,3,1,1,NA,30,NA,NA,NA,5,1,1125,44,Yes,100
2015,2,3,1,1,NA,30,NA,NA,NA,5,1,1125,51,Yes,100
2013,6,1,3,4,NA,129,NA,NA,200,75,2,29,0,Yes,100
2015,3,1,1,2,NA,128,NA,NA,NA,100,3,1125,90,Yes,97
2015,5,2,2,3,NA,179,NA,NA,NA,100,3,1125,89,Yes,97
2015,2,1,0,1,NA,125,NA,NA,200,45,2,1125,0,No,NA
2016,1,1,0,1,NA,100,NA,NA,NA,NA,1,1125,10,No,100
2015,2,1,1,1,NA,55,NA,NA,200,30,1,1125,0,No,NA
2015,2,1,0,2,NA,329,NA,NA,900,120,1,1125,0,No,NA
2012,1,1,1,1,NA,49,NA,NA,100,10,1,1125,32,No,100
2016,2,1,1,1,NA,200,NA,NA,0,25,1,1125,35,No,100
2016,5,1,2,2,NA,524,NA,NA,NA,100,2,1125,0,No,NA
2014,1,1,1,2,NA,55,350,1200,NA,NA,2,1125,14,Yes,100
2015,3,1,0,1,NA,209,NA,NA,NA,100,14,1125,90,Yes,97
2015,4,1,1,2,NA,260,NA,NA,0,115,3,145,35,Yes,100
2015,2,1,0,1,NA,195,NA,NA,0,25,3,45,29,Yes,100
2015,4,1,1,2,NA,215,NA,NA,0,25,3,45,19,Yes,100
2015,4,1,1,2,NA,200,NA,NA,200,100,4,1125,0,No,NA
2016,6,1,2,1,NA,45,NA,NA,NA,NA,1,1125,0,No,NA
2016,2,1,1,1,NA,129,NA,NA,119,39,1,1125,35,No,100
2016,1,1,1,1,NA,44,NA,NA,100,5,1,1,0,No,NA
2016,2,1,0,1,NA,195,NA,NA,NA,20,5,1125,0,No,NA
2016,1,2,1,1,NA,55,NA,NA,NA,15,1,1125,0,No,NA
2013,1,1,1,1,NA,29,NA,NA,NA,NA,59,1125,11,Yes,100
2016,6,1,3,3,NA,150,NA,NA,500,65,1,21,61,No,100
2014,1,1,1,1,NA,36,NA,NA,300,40,30,1124,90,Yes,99
2012,4,1,2,2,NA,175,NA,NA,NA,25,2,1125,0,No,NA
2013,2,1,1,1,NA,159,NA,NA,0,50,2,1125,12,No,100
2016,8,1,2,2,NA,199,NA,NA,200,99,1,1125,0,Yes,100
2014,4,1,0,1,NA,129,NA,NA,0,20,2,1125,20,Yes,100
2015,1,1,1,1,NA,750,NA,NA,NA,NA,1,1125,0,No,NA
2012,4,2,2,2,NA,600,NA,NA,NA,NA,2,3,0,No,NA
2012,2,1,1,1,NA,395,NA,NA,NA,NA,2,1125,0,No,NA
2014,6,1,2,2,NA,290,NA,NA,125,90,1,45,29,Yes,100
2016,6,1,3,3,NA,200,NA,NA,200,69,3,1125,0,No,NA
2016,6,2,3,4,NA,225,NA,NA,0,65,3,1125,35,No,100
2014,1,2,1,1,NA,50,NA,NA,NA,40,7,190,46,No,100
2014,5,1,2,2,NA,150,NA,NA,NA,45,1,1125,0,Yes,98
2015,4,1,2,2,NA,250,NA,NA,500,NA,2,1125,0,No,NA
2015,3,1,1,2,NA,136,NA,NA,NA,100,2,1125,90,Yes,97
2015,5,2,2,3,NA,182,NA,NA,NA,100,2,1125,56,Yes,97
2015,4,1,1,1,NA,175,1250,4100,0,75,2,1125,6,Yes,100
2016,2,1,1,1,NA,180,NA,NA,NA,50,6,1125,0,No,NA
2015,2,1,1,1,NA,69,NA,NA,0,40,2,90,15,Yes,99
2015,2,1,1,1,NA,140,NA,NA,NA,NA,2,1125,64,No,100
2016,1,1,1,1,NA,38,NA,NA,700,35,7,365,24,No,100
2014,6,1,3,3,NA,125,NA,NA,250,75,1,1124,70,Yes,99
2015,5,2,2,3,NA,191,NA,NA,NA,100,3,1125,43,Yes,97
2013,4,1,1,1,NA,199,NA,NA,200,25,2,1125,61,No,100
2014,2,1,1,1,NA,80,NA,NA,200,NA,1,2,0,No,NA
2016,4,2,2,2,NA,281,NA,NA,200,83,4,1125,0,No,NA
2015,4,1,1,1,NA,299,NA,NA,NA,NA,2,1125,0,No,NA
2014,2,1,1,1,NA,60,NA,NA,NA,20,7,1125,0,No,NA
2012,2,1,1,1,NA,190,NA,NA,NA,50,2,1125,14,No,100
2016,2,1,1,1,NA,54,NA,NA,NA,NA,2,1125,40,No,100
2015,3,1,0,2,NA,125,NA,NA,NA,25,2,1125,54,No,100
2013,2,1,1,1,NA,58,NA,NA,NA,5,1,5,0,No,NA
2012,6,1,3,3,NA,99,NA,NA,NA,99,1,1125,38,Yes,99
2016,2,1,1,1,NA,60,NA,NA,NA,NA,2,10,0,No,NA
2016,2,1,1,1,NA,65,NA,NA,NA,5,2,1125,0,No,NA
2015,3,1,1,2,NA,85,NA,NA,NA,25,1,1125,89,Yes,100
2014,6,1,2,4,NA,125,NA,NA,300,60,1,1124,83,Yes,99
2015,1,1,1,1,NA,90,NA,NA,NA,NA,1,1125,0,No,NA
2016,2,1,1,1,NA,175,NA,NA,100,NA,2,1125,0,No,NA
2016,5,2,2,2,NA,160,NA,NA,200,50,2,30,1,No,100
2014,4,1,0,1,NA,224,NA,NA,0,0,2,1125,9,Yes,83
2016,1,1,1,1,NA,60,NA,NA,NA,NA,1,1125,0,No,NA
2016,8,1.5,5,5,NA,350,NA,NA,0,100,3,30,65,No,100
2016,4,1,2,3,NA,189,NA,NA,200,50,3,30,0,No,NA
2014,1,1,1,1,NA,105,NA,NA,200,20,2,7,0,No,100
2012,3,1,0,2,NA,133,NA,NA,0,80,2,30,12,Yes,100
2014,4,1,1,2,NA,210,922,NA,200,200,2,1125,0,No,NA
2014,2,1,1,1,NA,140,NA,NA,0,35,1,1125,36,No,100
2015,4,1,2,2,NA,249,NA,NA,200,90,2,90,24,No,100
2015,4,2,2,2,NA,3000,NA,NA,NA,NA,1,1125,0,No,NA
2016,4,2,2,2,NA,225,NA,NA,NA,NA,2,1125,0,No,NA
2016,1,1,1,1,NA,41,NA,NA,1000,NA,1,1125,0,No,NA
2016,1,1.5,1,1,NA,32,NA,NA,NA,NA,20,90,0,No,NA
2015,2,1,1,1,NA,80,NA,NA,100,15,2,1125,51,No,100
2016,1,1,1,1,NA,57,NA,NA,NA,NA,1,1125,0,No,0
2013,4,1,1,1,NA,196,NA,NA,NA,55,5,1125,0,No,NA
2015,2,1,1,1,NA,114,NA,2247,NA,20,1,1125,0,No,100
2013,3,1,1,2,NA,65,NA,NA,NA,NA,1,1125,0,No,NA
2016,1,1,1,1,NA,40,NA,NA,100,5,1,1125,0,No,NA
2015,2,1,0,1,NA,99,NA,NA,NA,35,2,1125,28,No,100
2012,5,1,2,4,NA,125,NA,NA,500,140,2,300,37,Yes,100
2013,2,1,1,1,NA,90,NA,NA,500,9,1,7,0,No,NA
2012,3,1,1,3,NA,190,NA,NA,NA,NA,10,1125,0,No,NA
2016,2,2,1,1,NA,205,NA,NA,150,125,1,1125,14,Yes,100
2015,2,1.5,1,1,NA,150,NA,NA,NA,65,2,1125,24,No,100
2014,2,1,1,1,NA,175,NA,NA,500,160,2,1125,0,No,NA
2013,2,1,1,1,NA,70,NA,NA,NA,NA,1,1125,0,No,NA
2015,2,1,0,1,NA,159,NA,NA,100,60,2,1124,83,Yes,100
2016,4,1,1,1,NA,287,NA,NA,NA,NA,7,7,0,No,NA
2013,1,1,4,1,NA,50,NA,NA,NA,NA,1,1125,0,No,NA
2016,1,1,1,1,NA,872,NA,NA,NA,NA,1,1125,0,No,NA
2014,1,1,1,1,NA,50,NA,NA,0,20,2,1125,24,No,100
2015,2,2,1,1,NA,70,NA,NA,NA,NA,1,1125,0,No,NA
2016,6,1,2,3,NA,239,NA,NA,300,80,3,1125,61,No,100
2016,5,1,1,2,NA,176,NA,NA,250,80,2,21,14,No,100
2014,2,1,1,2,NA,219,NA,NA,NA,NA,30,1125,65,Yes,99
2014,2,1,1,2,NA,239,NA,NA,NA,NA,30,1125,65,Yes,99
2014,2,1,1,1,NA,231,NA,NA,NA,NA,30,1125,85,Yes,99
2015,2,1.5,1,1,NA,70,NA,NA,100,20,1,1125,0,Yes,100
2015,1,1,1,1,NA,55,NA,NA,150,30,1,1125,75,Yes,98
2016,4,1,1,2,NA,59,NA,NA,NA,60,1,1125,6,Yes,97
2014,2,1,1,1,NA,65,NA,NA,NA,NA,1,1125,0,No,NA
2014,1,1,1,1,NA,36,NA,NA,300,40,30,999,90,Yes,99
2012,3,1,1,2,NA,159,NA,NA,500,75,1,1125,12,No,100
2016,2,2,1,1,NA,1275,NA,NA,NA,NA,1,1125,0,No,NA
2014,4,2,2,3,NA,249,NA,NA,NA,NA,30,1125,13,Yes,99
2015,2,1,1,1,NA,55,NA,NA,120,30,1,1125,0,Yes,98
2016,4,1,1,2,NA,133,NA,NA,NA,NA,180,1125,33,No,NA
2015,2,1.5,1,1,NA,125,NA,NA,180,65,2,1125,56,Yes,100
2013,4,2,2,2,NA,272,NA,NA,NA,100,10,1125,90,Yes,97
2013,3,1,1,2,NA,259,NA,NA,NA,100,10,1125,90,Yes,97
2013,3,1,1,2,NA,259,NA,NA,NA,100,10,1125,90,Yes,97
2016,6,2,2,3,NA,363,NA,NA,100,80,1,1125,66,Yes,100
2014,4,1,1,2,NA,120,NA,NA,NA,60,3,99,0,No,NA
2014,6,2,2,3,NA,279,NA,NA,400,134,2,1125,79,Yes,99
2016,4,1,2,2,NA,245,NA,NA,100,80,1,1125,3,Yes,100
2015,3,3.5,1,2,NA,62,NA,NA,0,30,1,1125,89,Yes,100
2014,4,1,2,2,NA,257,NA,NA,NA,50,4,1124,0,Yes,83
2014,2,1,1,1,NA,199,NA,NA,0,100,2,1125,0,Yes,83
2014,4,2,2,2,NA,179,NA,NA,400,125,2,1125,83,Yes,99
2014,2,1,1,1,NA,219,NA,NA,400,93,2,1125,45,Yes,99
2014,4,2,2,2,NA,269,NA,NA,400,122,2,1125,85,Yes,99
2015,2,2.5,1,1,NA,65,NA,NA,0,28,1,1125,88,Yes,100
2016,4,1,1,2,NA,180,NA,NA,NA,40,2,1125,0,No,90
2016,2,1,1,1,NA,67,NA,NA,NA,10,1,7,0,No,NA
2014,6,1,3,3,NA,195,NA,NA,150,55,1,1125,13,Yes,98
2016,2,1,1,1,NA,150,NA,NA,NA,75,2,1125,0,No,NA
2014,6,1,3,5,NA,125,NA,NA,0,30,2,1125,15,No,100
2011,4,1,1,2,NA,140,NA,NA,100,50,2,1125,0,No,NA
2016,2,1,1,1,NA,135,NA,NA,NA,45,3,5,24,No,100
2016,4,1,1,2,NA,148,NA,NA,NA,75,1,60,32,No,100
2015,6,2.5,3,3,NA,177,NA,NA,2100,300,60,60,83,No,NA
2015,1,1,1,1,NA,42,NA,NA,NA,5,1,1125,0,No,NA
2014,2,1,1,1,NA,65,NA,NA,0,45,1,1125,0,Yes,98
2014,1,1.5,1,1,NA,56,NA,NA,300,NA,14,60,0,No,NA
2016,1,1.5,1,1,NA,35,NA,NA,NA,5,30,180,47,Yes,100
2014,2,1,0,1,NA,259,NA,NA,0,100,4,1125,25,Yes,65
2014,2,1,1,1,NA,175,NA,NA,NA,100,6,1125,1,No,100
2015,2,1.5,1,1,NA,89,NA,NA,100,NA,1,1125,0,No,NA
2014,6,3,3,3,NA,269,NA,NA,400,157,2,1125,70,Yes,99
2014,4,2.5,2,2,NA,259,NA,NA,400,122,2,1125,83,Yes,99
2015,1,0.5,1,1,NA,52,NA,NA,NA,NA,1,1125,0,No,NA
2015,2,1,0,1,NA,120,NA,NA,300,75,1,1125,0,No,NA
2015,1,1,1,1,NA,80,NA,NA,NA,NA,5,5,0,No,NA
2016,8,3.5,3,5,NA,250,NA,NA,0,100,3,28,5,No,100
2013,2,1,1,1,NA,125,NA,NA,0,50,6,10,6,No,100
2015,4,1.5,1,3,NA,99,NA,NA,200,50,3,30,35,No,100
2016,3,1,0,2,NA,100,NA,NA,0,55,2,180,5,Yes,98
2015,1,1,1,1,NA,390,NA,NA,1000,75,1,1125,0,No,NA
2015,4,1,1,2,NA,199,NA,NA,500,100,3,1125,11,No,100
2014,2,2,1,1,NA,250,NA,NA,0,80,1,1125,90,Yes,99
2011,2,1,1,1,NA,250,NA,NA,150,75,2,90,20,No,94
2015,2,1,1,2,NA,100,NA,NA,NA,NA,2,15,0,No,NA
2013,1,1,1,1,NA,33,NA,NA,NA,NA,59,1125,13,Yes,100
2011,4,1,2,2,NA,200,NA,NA,NA,40,3,1125,0,No,100
2009,4,1,1,2,NA,189,NA,NA,NA,100,2,1125,57,Yes,99
2009,2,1,1,1,NA,100,NA,NA,0,145,30,1125,10,Yes,99
2014,2,1,0,1,NA,235,NA,NA,0,100,4,1125,77,Yes,65
2014,3,1,1,1,NA,189,NA,NA,100,15,2,4,0,No,NA
2009,2,1,0,2,NA,189,NA,NA,NA,100,1,1125,59,Yes,99
2015,6,1.5,2,3,NA,425,NA,NA,400,150,2,1125,42,No,100
2016,14,2,5,9,NA,299,NA,NA,350,145,1,1125,28,Yes,100
2016,6,2.5,2,3,NA,250,NA,NA,100,0,3,1125,65,No,70
2009,6,1,3,3,NA,180,NA,NA,300,NA,2,1125,0,No,NA
2014,8,3,3,3,NA,700,NA,NA,500,160,3,600,4,Yes,100
2012,2,1,0,1,NA,145,NA,NA,95,20,2,10,0,No,NA
2014,2,1,1,1,NA,63,450,1700,200,45,4,21,0,No,100
2015,1,1,1,1,NA,55,NA,NA,200,30,2,1125,76,Yes,98
2014,1,1,1,1,NA,36,NA,NA,300,40,30,999,90,Yes,99
2016,2,1,0,1,NA,210,NA,NA,150,40,3,6,0,No,NA
2011,4,1,2,2,NA,120,NA,NA,1000,100,21,45,13,No,100
2014,1,1,1,1,NA,36,NA,NA,300,40,30,999,90,Yes,99
2016,1,1.5,1,1,NA,35,NA,NA,NA,6,30,180,14,Yes,100
2013,2,1,1,1,NA,75,NA,NA,95,15,1,1125,0,No,NA
2015,4,2.5,1,2,NA,68,NA,NA,0,30,1,1125,90,Yes,100
2016,2,2,1,1,NA,40,NA,NA,95,10,1,4,0,No,NA
2016,4,1,2,2,NA,120,NA,NA,200,35,3,90,0,No,NA
2016,2,1,1,1,NA,75,NA,NA,150,45,5,33,24,Yes,100
2015,1,1,1,1,NA,97,NA,NA,95,25,30,150,2,No,50
2016,6,2,2,3,NA,363,NA,NA,100,80,1,1125,56,Yes,100
2016,2,1.5,1,1,NA,75,NA,NA,200,20,3,30,88,No,100
2011,1,1,1,1,NA,134,NA,NA,NA,NA,2,6,0,No,NA
2013,2,1,1,1,NA,120,NA,NA,200,50,5,30,28,No,100
2010,2,1,1,1,NA,62,NA,NA,NA,10,1,1125,0,No,NA
2016,2,1,1,1,NA,95,500,2000,NA,NA,2,1125,78,No,91
2016,1,1,1,1,NA,77,NA,NA,NA,NA,10,30,0,No,NA
2016,1,1,1,1,NA,50,NA,NA,NA,18,2,90,0,No,NA
2013,2,1.5,1,1,NA,75,NA,NA,NA,NA,1,1125,0,No,NA
2015,4,1,1,2,NA,49,NA,NA,NA,NA,1,1125,0,No,NA
2011,5,2.5,3,4,NA,261,NA,NA,NA,120,2,1125,3,No,100
2014,2,1,1,1,NA,60,NA,NA,100,5,1,1125,0,No,NA
2014,1,2,1,1,NA,70,425,1800,100,25,1,1125,41,Yes,97
2016,1,1,1,1,NA,29,NA,NA,NA,NA,5,16,0,No,NA
2014,3,1,1,1,NA,150,NA,NA,200,60,2,1125,0,No,NA
2013,3,1,1,1,NA,75,NA,NA,300,50,2,7,0,No,NA
2011,5,2,4,3,NA,140,NA,NA,500,80,14,1125,0,No,NA
2016,4,1,1,2,NA,230,NA,NA,500,60,3,1125,28,No,100
2014,4,1,2,1,NA,170,NA,NA,250,40,2,20,0,No,NA
2014,2,2,1,1,NA,70,425,1800,100,25,1,1125,34,Yes,97
2015,2,1,1,1,NA,79,NA,NA,100,10,1,3,0,No,NA
2014,2,2,1,1,NA,59,NA,NA,0,100,1,1125,24,Yes,99
2013,2,1,1,1,NA,100,NA,NA,300,70,1,1125,0,No,NA
2016,3,1,2,2,NA,150,NA,NA,0,55,3,90,3,Yes,100
2016,2,1,0,1,NA,160,NA,NA,0,55,3,90,8,Yes,100
2016,4,1,1,2,NA,170,NA,NA,0,55,3,90,13,Yes,100
2014,7,2,4,5,NA,450,NA,NA,200,125,2,1125,0,No,100
2016,1,1,1,1,NA,52,NA,NA,100,10,1,1125,0,No,NA
2013,2,1,0,1,NA,200,NA,NA,95,20,2,1125,0,No,NA
2016,4,1,1,2,NA,150,NA,NA,NA,22,1,1125,25,No,100
2016,1,1,1,1,NA,30,NA,NA,NA,NA,1,1125,0,No,NA
2016,2,1,1,1,NA,189,NA,NA,100,30,2,4,54,No,100
2016,6,2,2,4,NA,234,NA,NA,100,75,1,14,54,No,100
2011,2,1,1,1,NA,108,NA,NA,500,25,2,1125,0,No,100
2016,3,1,2,2,NA,109,NA,NA,NA,NA,6,6,0,No,NA
2014,2,1,1,1,NA,100,NA,NA,100,50,2,7,0,No,NA
2016,3,1,0,2,NA,160,NA,NA,NA,NA,30,90,31,No,67
2016,1,1,1,1,NA,32,NA,NA,NA,NA,1,1,0,No,NA
2016,2,1,1,2,NA,62,NA,NA,NA,NA,1,1125,1,Yes,100
2016,3,1,1,1,NA,140,NA,NA,NA,NA,1,1125,0,No,NA
2014,2,2,1,1,NA,70,425,1800,100,25,1,1125,37,Yes,97
2015,2,1,1,1,NA,50,NA,NA,0,0,3,365,0,No,100
2016,2,1.5,1,1,NA,115,NA,NA,100,20,1,14,0,No,100
2014,7,1.5,2,4,NA,299,NA,NA,350,100,1,1124,33,Yes,99
2012,5,2,3,4,NA,550,NA,NA,1000,95,3,7,0,No,NA
2016,1,1,1,1,NA,40,NA,NA,300,50,30,365,62,Yes,100
2015,1,3,1,1,NA,30,NA,NA,0,120,1,1125,1,Yes,100
2016,2,1,0,1,NA,145,NA,NA,0,55,3,90,4,Yes,100
2015,4,1,2,2,NA,148,NA,NA,100,75,2,1125,0,No,NA
2014,2,2,1,1,NA,70,399,1750,100,25,1,1125,35,Yes,97
2016,1,1,1,1,NA,39,NA,NA,300,50,7,365,1,Yes,100
2015,2,1,1,1,NA,125,NA,NA,0,60,2,1000,31,No,94
2015,1,1,1,1,NA,50,NA,NA,200,15,7,38,0,No,NA
2015,1,2,1,1,NA,42,NA,NA,NA,NA,55,1125,0,No,NA
2015,7,1,2,5,NA,89,NA,NA,300,100,2,1125,39,Yes,100
2016,1,3,1,1,NA,30,NA,NA,200,NA,1,31,0,No,NA
2015,5,1,1,2,NA,75,NA,NA,150,25,1,1125,29,Yes,100
2015,11,1,3,8,NA,149,NA,NA,500,150,2,1125,53,Yes,100
2013,2,1,1,1,NA,140,NA,NA,200,65,1,1125,0,No,NA
2015,2,1,1,1,NA,98,NA,NA,200,80,3,10,0,No,NA
2016,2,1,1,2,NA,45,NA,NA,NA,15,7,17,0,No,NA
2016,2,1,1,1,NA,559,NA,NA,250,25,2,7,0,No,NA
2016,1,1,1,1,NA,200,NA,NA,100,30,1,1125,0,No,NA
2011,4,1,2,2,NA,250,NA,NA,500,130,2,1125,37,Yes,99
2011,6,2,3,3,NA,315,NA,NA,500,130,2,1125,29,Yes,100
2016,1,1,1,1,NA,65,NA,NA,1800,100,60,1125,2,No,50
2016,4,1,1,2,NA,100,NA,NA,0,0,1,1125,0,No,90
2015,2,1,1,1,NA,50,NA,NA,0,0,3,365,0,No,100
2013,2,1,1,1,NA,115,NA,NA,0,15,1,30,46,No,90
2016,1,1,1,1,NA,40,NA,NA,800,0,5,365,78,No,100
2016,4,2.5,1,4,NA,70,NA,NA,150,10,2,30,0,No,NA
2015,2,1,2,1,NA,250,NA,NA,500,NA,6,7,0,No,NA
2014,6,1,2,3,NA,134,NA,NA,100,90,1,90,21,Yes,100
