host_since,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,availability_90,Commercial,resp_rate
2011,2,1,0,2,NA,167,NA,2500,500,105,2,1125,36,Yes,100
2012,9,2,4,6,NA,250,1925,NA,200,100,5,8,0,No,NA
2012,4,1,1,2,NA,155,925,2800,200,80,5,1125,15,Yes,100
2012,4,1,2,3,NA,199,1250,3800,200,80,5,365,14,Yes,100
2012,1,1,1,1,NA,45,220,800,100,NA,30,1124,17,No,100
2010,10,1.5,4,5,NA,495,NA,NA,150,150,1,365,9,Yes,99
2012,6,2.5,3,4,NA,375,NA,NA,250,150,3,9,0,No,NA
2012,1,1,1,1,NA,49,300,1100,100,NA,30,1124,14,No,100
2012,3,1,1,1,800,88,NA,NA,NA,25,1,1125,3,No,100
2012,1,1,1,1,NA,61,359,1099,100,25,3,1125,54,Yes,100
2012,2,1,0,1,NA,75,1200,4000,150,NA,2,90,38,No,95
2011,4,1,2,2,NA,200,1400,4000,300,40,2,12,0,No,NA
2012,2,1,1,1,NA,195,850,2750,0,75,5,1125,0,No,NA
2012,5,1,3,4,NA,250,NA,NA,500,100,2,14,14,No,100
2012,2,1,1,1,NA,71,460,1750,NA,NA,3,120,42,No,100
2010,2,1,0,1,NA,175,NA,NA,0,75,30,380,19,Yes,100
2011,5,1,2,2,NA,150,NA,NA,500,130,2,1125,42,Yes,99
2012,5,2.5,2,4,NA,500,NA,NA,1000,250,5,120,76,No,100
2012,2,1,1,2,1200,79,NA,NA,200,0,1,15,8,No,100
2012,2,1,1,1,NA,200,750,2000,100,50,2,120,0,No,NA
2012,8,1,3,4,1200,299,2525,9500,300,100,1,365,21,No,100
2011,6,2,3,3,NA,450,NA,NA,4000,350,30,1125,84,Yes,100
2012,2,1.5,1,1,1700,62,600,NA,150,25,3,10,0,No,NA
2010,2,1,1,1,340,148,785,2800,0,24,2,125,76,Yes,100
2010,9,2,5,5,2400,175,2265,5000,250,175,2,365,62,Yes,99
2010,5,1,3,3,1200,125,1440,3500,250,125,2,365,0,Yes,99
2010,6,2.5,2,4,1200,168,1825,4000,250,125,2,365,12,Yes,99
2010,5,1,2,2,1200,125,1495,3500,250,125,2,365,78,Yes,99
2012,4,1,2,3,NA,115,NA,NA,100,60,2,730,30,No,100
2009,4,1,2,2,NA,379,NA,6200,NA,150,3,365,83,Yes,76
2012,6,2,2,2,NA,240,1300,NA,NA,135,3,14,35,No,100
2010,8,1,3,4,NA,142,1675,4000,250,150,2,365,63,Yes,99
2012,4,1,2,2,NA,110,NA,NA,NA,NA,1,30,53,No,88
2011,4,1.5,2,2,NA,150,800,NA,100,75,3,8,81,No,100
2010,5,1,2,2,1200,125,1375,3500,250,125,2,365,72,Yes,99
2010,2,1,1,1,675,149,NA,NA,NA,50,3,1125,0,No,NA
2012,2,1,1,1,NA,65,350,1300,NA,10,2,1125,45,No,100
2010,6,1,3,4,1200,125,800,3200,250,125,2,365,69,Yes,99
2012,6,1,1,4,NA,325,NA,NA,NA,139,2,1125,80,Yes,100
2011,2,1,1,1,NA,175,NA,NA,NA,NA,3,365,1,No,100
2012,2,1,1,1,NA,175,NA,NA,NA,NA,3,33,0,No,100
2012,3,1,1,2,NA,199,NA,NA,NA,NA,3,1125,21,No,100
2012,2,1,1,1,1600,155,800,3000,1000,175,1,6,75,No,100
2011,4,1,1,1,NA,163,NA,3500,500,105,2,1125,28,Yes,100
2009,2,1,1,1,NA,249,NA,5586,NA,NA,2,1825,88,Yes,76
2009,2,1,1,1,580,175,1300,3000,1000,250,30,365,19,Yes,100
2012,4,1,1,2,800,150,NA,NA,NA,25,2,7,27,No,100
2012,2,1.5,1,1,NA,135,875,2800,NA,50,5,90,0,No,NA
2012,2,1,1,1,NA,95,450,1375,NA,25,3,180,0,No,100
2012,4,1,2,2,NA,225,1150,3000,NA,50,3,90,0,No,100
2012,2,1,1,1,1000,55,350,NA,NA,NA,300,365,0,No,NA
2012,10,2.5,4,6,NA,550,NA,NA,300,110,3,30,53,No,88
2009,1,1,1,1,NA,25,175,635,NA,NA,90,365,0,No,100
2012,2,1,1,1,NA,65,450,NA,200,35,2,200,49,No,100
2012,2,1,1,2,12,50,NA,NA,0,20,2,1125,75,No,100
2012,2,1,1,1,NA,125,900,3100,NA,45,1,180,16,Yes,100
2012,2,NA,1,1,NA,85,565,NA,NA,NA,2,1125,76,No,100
2012,1,1,1,1,3000,63,430,NA,NA,38,3,60,0,Yes,90
